chain,contract
ethereum,0x80f0C1c49891dcFDD40b6e0F960F84E6042bcB6F
avalanche,0x80f0C1c49891dcFDD40b6e0F960F84E6042bcB6F
polygon,0x47DD60FA40A050c0677dE19921Eb4cc512947729
fantom,0xc418B123885d732ED042b16e12e259741863F723
evmos,0xc418B123885d732ED042b16e12e259741863F723
moonbeam,0xc418B123885d732ED042b16e12e259741863F723
ethereumpow,0xc418B123885d732ED042b16e12e259741863F723
base,0x9430A7e6283Fb704Fd1D9302868Bc39d16FE82Ba
optimism,0xc418B123885d732ED042b16e12e259741863F723
pulsechain,0x6fE0ae3D5c993a3073333134db70613B0cb88a31
bsc,0xCcd09b80453335aa914f5d9174984b6586c315EC
