chain,contract
pulsechain,0x8a7FDcA264e87b6da72D000f22186B4403081A2a
ethereum,0x06450dEe7FD2Fb8E39061434BAbCFC05599a6Fb8
base,0xffcbF84650cE02DaFE96926B37a0ac5E34932fa5
moonbeam,0xb564A5767A00Ee9075cAC561c427643286F8F4E1
polygon,0x2AB0e9e4eE70FFf1fB9D67031E44F6410170d00e
bsc,0x2AB0e9e4eE70FFf1fB9D67031E44F6410170d00e
optimism,0xeB585163DEbB1E637c6D617de3bEF99347cd75c8
evmos,0x2AB0e9e4eE70FFf1fB9D67031E44F6410170d00e
fantom,0xeF4B763385838FfFc708000f884026B8c0434275
avalanche,0xC0C5AA69Dbe4d6DDdfBc89c0957686ec60F24389
dogechainm,0x948eed4490833D526688fD1E5Ba0b9B35CD2c32e
ethereumpow,0x2AB0e9e4eE70FFf1fB9D67031E44F6410170d00e
